id,name,building,floor,accessible
107,Moore-Allen,Arts,1,True
108,Garcia-Edwards,Recreation,4,True
109,"Miller, Gomez and Coleman",Science,3,True
110,Fisher Group,Commons,4,False
111,Garcia Inc,Recreation,2,False
112,"Kelly, Yates and Terry",Arts,3,True
113,Kelly-Smith,Main,4,True
114,Williams-Green,Science,1,False
115,Morris Group,Science,4,True
116,Ingram Group,Science,1,True
117,Porter LLC,Engineering,2,True
118,"Phillips, Meyers and Bird",Arts,3,False
119,Vasquez Group,Science,3,True
120,Burns-Brown,Commons,1,True
121,"Palmer, Sutton and Wilkins",Main,2,False
122,Williams-Adams,Engineering,5,False
123,Wilcox-Cruz,Engineering,3,True
124,Moreno Group,Main,4,True
125,"Ruiz, Mckinney and Trujillo",Main,1,True
126,"Alexander, Cook and Adams",Recreation,2,True
127,Thompson-Roberts,Main,5,False
128,"Palmer, Park and Hansen",Recreation,2,True
129,Flores Group,Engineering,3,True
130,"Martin, Allen and Henderson",Engineering,3,True
131,Morris LLC,Engineering,5,True
132,"Edwards, Sanchez and Johnson",Engineering,3,False
133,"Silva, Peters and Briggs",Recreation,4,True
134,"Romero, Briggs and Stephens",Recreation,5,False
135,Jones Inc,Science,1,True
136,"Newman, Mendez and Douglas",Science,3,True
137,Wade Inc,Engineering,5,False
138,Newman-Aguirre,Arts,5,True
139,"Thompson, Ward and Jackson",Commons,3,False
140,"Gutierrez, Patel and Powers",Science,3,False
141,Andrews-Gonzalez,Engineering,5,True
142,"Mahoney, Smith and Palmer",Commons,2,False
143,Ballard-Johnson,Main,2,True
144,Lewis LLC,Engineering,2,True
145,Bell-Kelly,Science,2,True
146,Romero PLC,Main,4,True
147,Costa PLC,Engineering,1,True
148,Carpenter-Higgins,Commons,3,True
149,Knight-Brown,Main,4,False
150,"Johnson, Hurst and Perkins",Science,4,True
151,"Washington, Powell and Armstrong",Arts,1,True
152,Hall PLC,Arts,1,False
153,Herrera and Sons,Engineering,5,False
154,Mendoza and Sons,Main,5,False
155,Rocha-Johnson,Science,3,True
156,Walker Inc,Recreation,1,False
157,Navarro-Bell,Recreation,5,True
158,Clay Group,Science,5,False
159,"Turner, Johnson and Wood",Engineering,2,False
160,Smith-Knapp,Engineering,2,True
161,"Barnes, Johnson and Castillo",Commons,5,True
162,"Jackson, Porter and Green",Recreation,3,True
163,"Brown, Martinez and Armstrong",Science,5,False
164,Allen Group,Arts,4,False
165,Lloyd Group,Recreation,2,True
166,Flores LLC,Recreation,2,True
167,Christensen and Sons,Recreation,3,True
168,"Cruz, Walker and Burns",Recreation,1,False
169,Bond LLC,Engineering,1,True
170,"Williams, Livingston and Murphy",Arts,4,False
171,"Miller, Galloway and Clark",Engineering,5,False
172,Davis Group,Main,3,False
173,"Lopez, Wood and Espinoza",Recreation,3,True
174,Davies-Cross,Engineering,5,True
175,Jones Group,Arts,1,True
176,Hamilton-Parks,Arts,3,True
177,Perry-Wolf,Arts,2,False
178,Stanton-Holland,Recreation,2,True
179,West-Garcia,Engineering,2,True
180,Bryant Inc,Engineering,2,True
181,Mccormick-Guerra,Science,1,True
182,"Henderson, Wright and Leon",Commons,1,False
183,Singleton PLC,Recreation,5,True
184,Rogers PLC,Science,4,False
185,Gutierrez Ltd,Recreation,2,False
186,Park-Pitts,Recreation,5,True
187,"Hawkins, Hall and Perkins",Main,3,False
188,"Watkins, Flowers and Mckinney",Engineering,2,False
189,Taylor PLC,Main,2,False
190,Wood Ltd,Arts,1,True
191,"Stewart, Kemp and Carlson",Commons,2,True
192,"Woodard, Oconnor and Carlson",Arts,1,False
193,Cortez-Powell,Science,4,True
194,Armstrong Inc,Commons,3,False
195,Mitchell-Sheppard,Commons,4,True
196,Donaldson Group,Engineering,3,True
197,"Larson, Smith and Leonard",Recreation,3,False
198,"Mcgrath, Hayes and Lambert",Commons,1,False
199,Garcia PLC,Engineering,1,False
200,Smith-Pruitt,Recreation,5,False
